,startTime,open,high,low,close,volume,endTime,quoteAssetVolume,trades,takerBaseVolume,takerQuoteVolume,timestamp
56,1637164320000,59630.91,59761.73,59629.91,59740.54,0.430172,0,25692.92423168,17,0,0,2021-11-17 15:52:00
57,1637164380000,59740.54,59740.54,59589.03,59589.04,0.133988,0,7988.7271714,12,0,0,2021-11-17 15:53:00
58,1637164440000,59589.04,59601.53,59576.49,59576.49,0.119925,0,7144.98171935,6,0,0,2021-11-17 15:54:00
59,1637164500000,59576.49,59650.12,59576.49,59650.12,0.096073,0,5725.63221732,8,0,0,2021-11-17 15:55:00
60,1637164560000,59650.12,59690.21,59602.62,59610.13,0.007166,0,427.47239789,5,0,0,2021-11-17 15:56:00
61,1637164620000,59610.13,59610.13,59599.03,59601.73,0.047789,0,2848.23918347,2,0,0,2021-11-17 15:57:00
62,1637164680000,59601.73,59680.79,59601.73,59674.78,0.379616,0,22646.15245745,9,0,0,2021-11-17 15:58:00
63,1637164740000,59674.78,59674.78,59604.95,59624.57,0.262453,0,15648.37230092,8,0,0,2021-11-17 15:59:00
64,1637164800000,59624.57,59664.64,59606.45,59609.69,0.102999,0,6143.29370177,8,0,0,2021-11-17 16:00:00
65,1637164860000,59609.69,59609.69,59557.77,59566.61,0.298052,0,17763.94278081,14,0,0,2021-11-17 16:01:00
66,1637164920000,59566.61,59598.33,59534.31,59555.66,0.54771,0,32614.83475488,16,0,0,2021-11-17 16:02:00
67,1637164980000,59555.66,59567.24,59474.96,59474.96,2.391492,0,142305.60119127,26,0,0,2021-11-17 16:03:00
68,1637165040000,59474.96,59490.34,59416.88,59422.95,0.206735,0,12291.02705797,10,0,0,2021-11-17 16:04:00
69,1637165100000,59422.95,59448.05,59415.17,59448.05,0.229548,0,13641.99501518,8,0,0,2021-11-17 16:05:00
70,1637165160000,59448.05,59496.01,59448.05,59496.01,0.131373,0,7815.36130283,7,0,0,2021-11-17 16:06:00
71,1637165220000,59496.01,59514.33,59484.49,59514.33,1.003923,0,59746.46077891,17,0,0,2021-11-17 16:07:00
72,1637165280000,59514.33,59544.3,59514.33,59544.3,0.108618,0,6467.33583881,3,0,0,2021-11-17 16:08:00
73,1637165340000,59544.3,59592.42,59544.3,59592.12,0.674338,0,40177.08744059,13,0,0,2021-11-17 16:09:00
74,1637165400000,59592.12,59619.98,59555.44,59555.44,0.139773,0,8328.6724249,12,0,0,2021-11-17 16:10:00
75,1637165460000,59555.44,59580.02,59502.71,59502.71,0.06675,0,3973.27271912,8,0,0,2021-11-17 16:11:00
76,1637165520000,59502.71,59556.82,59495.63,59556.82,0.327405,0,19488.57886237,13,0,0,2021-11-17 16:12:00
77,1637165580000,59556.82,59640.41,59556.82,59640.41,0.198487,0,11831.18468078,11,0,0,2021-11-17 16:13:00
